Name of Space Object,State/Organization,Date of Launch,Status,Date of Decay or Change,Function of Space Object,,,On-Board Computing Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denmark,6/23/2025,in orbit,,The BIFROST-DNK mission is a technology demonstration mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,6/20/2025,in orbit,,Assignments on behalf of the Ministry of Defence of the Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russian Federation,6/19/2025,in orbit,,Assignments on behalf of the Ministry of Defence of the Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/13/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
